,名称,图画信息,图画标签,图片信息
10,花卉十开 07,创作者： 项圣漠 原标题： 历代绘画图库_明_明_明 项圣漠 花卉10开_120-项圣莫花卉十开-07 所属时期： 明代 题材： 花鸟画,项圣漠作品 明代作品 花 文字 印章,
11,花卉十开 08,创作者： 项圣漠 原标题： 历代绘画图库_明_明_明 项圣漠 花卉10开_120-项圣莫花卉十开-08 所属时期： 明代 题材： 花鸟画,项圣漠作品 明代作品 花 叶子 文字 印章,
12,花卉十开 09,创作者： 项圣漠 原标题： 历代绘画图库_明_明_明 项圣漠 花卉10开_120-项圣莫花卉十开-09 所属时期： 明代 题材： 花鸟画,项圣漠作品 明代作品 花 石头 叶子 文字 印章,
13,花卉十开 10,创作者： 项圣漠 原标题： 历代绘画图库_明_明_明 项圣漠 花卉10开_120-项圣莫花卉十开-10 所属时期： 明代 题材： 花鸟画,项圣漠作品 明代作品 花 文字 印章,
14,花卉十开 合图(4),创作者： 项圣漠 原标题： 历代绘画图库_明_明_明 项圣漠 花卉10开_花卉十开－合图-(4) 所属时期： 明代 题材： 花鸟画,项圣漠作品 明代作品 荷花 荷叶 文字 印章,
15,闽中山水图卷,创作者： 项圣漠 原标题： 历代绘画图库_明_明_项圣谟_明 项圣漠 闽中山水图卷27x219 所属时期： 明代 题材： 山水画 材质： 水墨 尺寸： 27x219,项圣漠作品 明代作品 山 树 马 房屋 船 印章,
16,雪溪图,创作者： 蓝瑛 原标题： 历代绘画图库_明_明_蓝瑛_明 蓝瑛 雪溪图绫本27×38 风格流派： 浙江画派 所属时期： 明代 题材： 风俗画 材质： 绢画 尺寸： 27×38cm,蓝瑛作品 水 船 树 楼阁,
17,溪堂诗意图,创作者： 戴进 原标题： 历代绘画图库_明_明_戴进_明 戴进 溪堂诗意图 绢本 风格流派： 浙江画派 所属时期： 明代 题材： 风俗画 材质： 绢画 收藏地点： 台北故宫博物院,戴进作品 台北故宫博物院藏品 树 人物 房子,绢本，设色 ，194x104cm，辽宁省博物馆藏。图绘群山环绕中，泉水汇于山涧，桥上一童子置琴而过，对面草堂内一老者坐于凳上手执诗文认真观看；远处山峰险峻，树木葱郁，几座亭台隐约显现。本幅图采用典型的对角线构图，以斧劈皴勾画石头的轮廓，以焦墨中锋画出树木虬劲枝干，层次感突出。
18,澄观图册,创作者： 蓝瑛 原标题： 历代绘画图库_明_明_蓝瑛_明 蓝瑛 澄观图册 北京故宫13张_澄观图册12 风格流派： 浙江画派 所属时期： 明代 题材： 山水画 材质： 纸本 尺寸： 42.5*23.2cm 收藏地点： 故宫博物院,故宫博物院藏品 蓝瑛作品 书法 山 树,纸本，设色，12开，每开42.5*23.2cm，北京博物馆藏。图绘春夏秋冬山间的四季景色，以及雪后、雨后等自然景色，画家以多图描绘了一老翁游山玩水赏景的过程，以及季节变换展示出不同美景。蓝瑛，字田叔，号蝶叟，明代画家；工书善画，长于山水、花鸟、梅竹，尤以山水著名。
19,溪山秋色图,创作者： 蓝瑛 原标题： 历代绘画图库_明_明_蓝瑛_明末清初 蓝瑛 溪山秋色图_明末清初 蓝瑛 溪山秋色图(画芯) 绢本 183.6x27.2 风格流派： 浙江画派 所属时期： 明代 题材： 山水画 材质： 绢画 尺寸： 183.6x27.2cm 收藏地点： 天津博物馆,天津博物馆藏品 山 树 印鉴,绢本，设色，画芯23.8*172cm，全卷23.8*406cm，天津市艺术博物馆藏。图绘右起大片水域，远山蒙蒙，云气蒸腾；中部山石突起，溪水潺潺蜿蜒从山间流过。技法上，用淡墨淡彩渲染出一派澄明清润的南国初秋景象，气韵生动，笔法简清爽利，色彩浓淡相宜，具透明感。
20,溪山秋色图,创作者： 蓝瑛 原标题： 历代绘画图库_明_明_蓝瑛_明末清初 蓝瑛 溪山秋色图_明末清初 蓝瑛 溪山秋色图(画芯)-2 绢本 169.1x50 风格流派： 浙江画派 所属时期： 明代 题材： 山水画 材质： 绢画 尺寸： 169.1x50cm 收藏地点： 天津博物馆,蓝瑛作品 天津博物馆藏品 岩石 树,绢本，设色，画芯23.8*172cm，全卷23.8*406cm，天津市艺术博物馆藏。图绘右起大片水域，远山蒙蒙，云气蒸腾；中部山石突起，溪水潺潺蜿蜒从山间流过。技法上，用淡墨淡彩渲染出一派澄明清润的南国初秋景象，气韵生动，笔法简清爽利，色彩浓淡相宜，具透明感。
21,溪山秋色图（全卷）,创作者： 蓝瑛 原标题： 历代绘画图库_明_明_蓝瑛_明 蓝瑛-溪山秋色图（全卷）绢本 23.8X180 风格流派： 浙江画派 所属时期： 明代 题材： 山水画 材质： 绢画 尺寸： 23.8X180cm 收藏地点： 天津博物馆,蓝瑛作品 天津艺术博物馆藏品 蓝瑛作品 山 树 书法 印鉴,绢本，设色，画芯23.8*172cm，全卷23.8*406cm，天津市艺术博物馆藏。图绘右起大片水域，远山蒙蒙，云气蒸腾；中部山石突起，溪水潺潺蜿蜒从山间流过。技法上，用淡墨淡彩渲染出一派澄明清润的南国初秋景象，气韵生动，笔法简清爽利，色彩浓淡相宜，具透明感。
22,书画合册12张 4,创作者： 陈继儒 原标题： 历代绘画图库_明_明_明 陈继儒 书画合册12张_01-(4) 风格流派： 松江画派 所属时期： 明代 题材： 花鸟画 材质： 纸本,陈继儒作品 花 树枝 印鉴,
23,书画合册12张 10,创作者： 陈继儒 原标题： 历代绘画图库_明_明_明 陈继儒 书画合册12张_01-(10) 风格流派： 松江画派 所属时期： 明代 题材： 花鸟画 材质： 纸本,陈继儒作品 花 树枝 印鉴,
24,书画合册12张 8,创作者： 陈继儒 原标题： 历代绘画图库_明_明_明 陈继儒 书画合册12张_01-(8) 风格流派： 松江画派 所属时期： 明代 题材： 花鸟画 材质： 纸本,陈继儒作品 树枝 印鉴,
25,山水纸本 2,创作者： 董其昌 所属时期： 明代 题材： 山水画 材质： 纸本,董其昌作品 树 桥 房屋,
26,山水纸本4,创作者： 董其昌 所属时期： 明代 题材： 山水画 材质： 纸本,董其昌作品 山 树 房屋,
27,阔渚遥峰图轴,"创作者： 李在 所属时期： 明代 题材： 山水画 材质： 绢画,墨水 尺寸： 165.2 x 90.4 cm 收藏地点： 故宫博物院",李在山水画 山峰 树木 房屋 小舟 河流 笛子,
28,骑马游山图,"创作者： 刘琰 所属时期： 明代 创作地点： 中国 题材： 山水画 材质： 绢画,水墨 尺寸： 12.7* 17.1cm 收藏地点： 大都会艺术博物馆",中国山水画 山水 树木 楼阁 人物 马,绢本，设色，12.7* 17.1cm，美国大都会艺术博物馆藏。图绘崇山峻岭中一座高楼映入眼帘，飞檐立柱，高大宏伟；屋前树木葱郁，繁花开放，一位红衣男子骑马停步赏景！此幅图的山脉绿树画法很具特色，与同时代画家蓝瑛有相似之处，馆中的一幅蓝瑛的《溪阁清言图》，大家可以比较一下。
29,四万山水图04-万山飞雪,"创作者： 文伯仁 风格流派： 吴门画派 所属时期： 明代 创作地点： 中国 题材： 山水画 材质： 水墨,纸本 尺寸： 188.1×73.5cm 收藏地点： 东京国立博物馆",中国山水画 山水 楼阁 台阶 溪水 木桥 树木 白雪,纸本，水墨，188.1×73.5cm，东京国立博物馆藏。《万山飞雪》绘冬日山中之景。远处山峰连绵不断，隐约可见一平坦处数座楼阁屋；山腰处数级台阶自下向上延伸，溪水潺潺而下；山脚下一座木桥连接两岸，树木、山峦皆覆盖皑皑白雪，绘出一副寒冬之景。
30,莲溪鱼隐图轴,"创作者： 仇英 风格流派： 文人画,吴门画派 所属时期： 明代 创作地点： 中国 题材： 山水画 材质： 水墨 尺寸： 126X66cm 收藏地点： 故宫博物院",中国山水画 青绿山水 房屋 树木 人物,绢本，青绿设色，126.5×66.3cm，故宫博物院藏。青绿山水画，亦是一幅青绿界画，绘江南水乡景色。远处山峦连绵，云雾缥渺；中部湖面宽广，民居近岸而建；近处围墙内房屋三间，屋前一高士驻足远眺，左侧水田中禾苗翠绿茁壮，田园生活恬静安乐。
31,玉山河谷图,"创作者： 倪瓒 创作时间： 1371 年 （70岁） 风格流派： 水墨画 所属时期： 明代 题材： 风景画 材质： 墨水,纸本 尺寸： 95.3 x 35.8 cm",水墨画作 树 山 河,
32,松柏图,创作者： 方以智 所属时期： 明代 题材： 山水画 材质： 纸本 尺寸： 47.3x125.6cm,方以智代表作之一 山 松树 河流,
33,立纲楷书东铭册,创作者： 姜立纲 所属时期： 明代 题材： 书法篆刻 材质： 纸本,姜立纲作品 书法 白色背景,
34,姜立纲楷书东铭册,创作者： 姜立纲 所属时期： 明代 题材： 书法篆刻 材质： 纸本,姜立纲作品 书法 白色背景,
35,祝寿图轴,创作者： 王文炜 原标题： 祝寿图轴 所属时期： 明代 题材： 宗教画 材质： 纸本 尺寸： 80 X 160 cm,王文炜作品 人物 树木 动物,
36,观音,创作者： 丁观朋 原标题： 观音 所属时期： 明代 题材： 宗教画 材质： 纸本 尺寸： 97 x 33 cm,丁观朋作品 人物 白色背景 印章,
37,骑马游山图,创作者： 刘琰 原标题： 骑马游山图 所属时期： 明代 题材： 山水画 材质： 纸本 尺寸： 49 x 67 cm,刘琰作品 房屋 树木 动物 人物,
38,草虫册页,创作者： 温良 原标题： 草虫册页 所属时期： 明代 题材： 花鸟画 材质： 纸本 尺寸： 26 x 42 cm,温良作品 动物 植物 花,
39,莲鹡鸰图,创作者： 王渊 原标题： 莲鹡鸰图 所属时期： 明代 题材： 花鸟画 材质： 纸本 尺寸： 29.9×36 cm,王渊作品 鸟 植物 花,
40,竹炉山房图轴,创作者： 沈贞 原标题： 竹炉山房图轴 所属时期： 明代 题材： 山水画 材质： 纸本 尺寸： 54 x 151 cm,沈贞作品 树木 房屋 山,
41,千雁图,创作者： 王守谦 原标题： 千雁图 所属时期： 明代 题材： 动物画 材质： 纸本,王守谦作品 鸟 书法 印章,
42,烟笼玉树图轴,创作者： 陈录 原标题： 烟笼玉树图轴 所属时期： 明代 题材： 花卉画 材质： 纸本 尺寸： 137.5 x 65.4 cm,陈录作品 书法 印章 梅花,
43,山水手卷,创作者： 李流芳 原标题： 山水手卷 所属时期： 明代 题材： 山水画 材质： 纸本 尺寸： 144.6 x 29.2 cm,李流芳作品 树木s 山 白色背景,
44,鱼藻图<div></div>,创作者： 缪辅 原标题： 鱼藻图 所属时期： 明代 题材： 动物画 材质： 纸本 尺寸： 171.3 x 99.1 cm,缪辅作品 花 鱼 池塘,
45,兰亭诗序图卷,创作者： 钱贡 原标题： 兰亭诗序图卷 所属时期： 明代 题材： 山水画 材质： 纸本,钱贡作品 树木 山 人物,
46,《书画扇面三挖》,创作者： 陈焕 原标题： 《书画扇面三挖》 所属时期： 明代 题材： 书法篆刻,陈焕作品 扇面 花 书法,
47,七律诗轴傍市柴门（行书）,创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 题材： 书法篆刻 材质： 纸本 尺寸： 133x62cm 收藏地点： 上海博物馆,文徵明名作 文字,
48,忆惜四首次陈侍讲韵全卷,创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 题材： 书法篆刻 材质： 纸本 尺寸： 32x485cm,文徵明名作 文字,
49,山水诗画册(8),创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 题材： 书法篆刻 材质： 纸本 尺寸： 26.4×27.3cm 收藏地点： 大都会艺术博物馆,文徵明名作 文字,
50,浒溪草堂图(全卷),创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 题材： 书法篆刻 材质： 纸本 尺寸： 26.7x142.5 cm 收藏地点： 辽宁省博物馆,文徵明名作 文字,
51,雪诗卷,创作者： 文徵明 创作时间： 1536 年 （65岁） 风格流派： 吴门画派 所属时期： 明代 题材： 书法篆刻 材质： 纸本 尺寸： 31.6X483.9 cm 收藏地点： 台北故宫博物院,文徵明名作 文字 行草,
52,偶适溪楼帖楷书,创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 题材： 书法篆刻 材质： 纸本 尺寸： 29x67 cm,文徵明名作 文字,
53,浒溪草堂,创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 题材： 书法篆刻 材质： 纸本 尺寸： 26.7×142.5cm 收藏地点： 辽宁省博物馆,文徵明名作 山 植物 凉亭,
54,盘谷叙,创作者： 文徵明 创作时间： 1554 年 （83岁） 风格流派： 吴门画派 所属时期： 明代 题材： 书法篆刻 材质： 纸本 尺寸： 30x136 cm 收藏地点： 台北故宫博物院,文徵明名作 文字,
55,花蝶草虫(2),创作者： 杜大成 风格流派： 华亭画派 所属时期： 明代 题材： 花鸟画 材质： 纸本 尺寸： 28x35cm 收藏地点： 辽宁省博物馆,世界名画 蜻蜓,
56,人物草虫图卷画心1,创作者： 杜大成 风格流派： 华亭画派 所属时期： 明代 题材： 花鸟画 材质： 纸本 收藏地点： 辽宁省博物馆,世界名画 植物 蝴蝶 蜻蜓,
57,花蝶草虫,创作者： 杜大成 风格流派： 华亭画派 所属时期： 明代 题材： 花鸟画 材质： 纸本 尺寸： 28x35cm,世界名画 植物 蝴蝶,
58,花蝶草虫(10),创作者： 杜大成 风格流派： 华亭画派 所属时期： 明代 题材： 花鸟画 材质： 纸本 尺寸： 28x35cm,世界名画 植物 蜻蜓,
59,横塘雨歇图卷,创作者： 文伯仁 创作时间： 1528 年 风格流派： 吴门画派 所属时期： 明代 题材： 山水画 材质： 纸本 尺寸： 18x123cm 收藏地点： 大都会艺术博物馆,文伯仁名作 山 植物 文字,
60,松风高士图,创作者： 文伯仁 风格流派： 吴门画派 所属时期： 明代 题材： 山水画 材质： 纸本 尺寸： 98.7×27.6cm 收藏地点： 辽宁省博物馆,世界名画 山 树,
61,人物草虫图卷引首,创作者： 杜大成 风格流派： 华亭画派 所属时期： 明代 题材： 花鸟画 材质： 纸本 收藏地点： 辽宁省博物馆,世界名画 文字,
62,得趣在人 12,创作者： 汪中 风格流派： 扬州画派 所属时期： 明代 题材： 花鸟画 材质： 纸本,汪中名作 鸟 花卉,
63,得趣在人 09,创作者： 汪中 风格流派： 扬州画派 所属时期： 明代 题材： 人物画 材质： 纸本,汪中名作 人物,
64,得趣在人 11,创作者： 汪中 风格流派： 扬州画派 所属时期： 明代 题材： 人物画 材质： 纸本,汪中名作 人物 植物,
65,扇面画选 002,创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 题材： 书法篆刻 材质： 纸本,文徵明名作 文字 植物,
66,扇面 007,创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 题材： 山水画 材质： 纸本,文徵明名作 山 植物,
67,扇面 089,创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 题材： 山水画 材质： 纸本,文徵明名作 文字 山 植物,
68,扇面 014,创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 题材： 山水画 材质： 纸本,文徵明名作 植物,
69,扇面画选 001,创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 题材： 山水画 材质： 纸本,文徵明名作 山 植物 房屋,
70,扇面画选 003,创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 题材： 山水画 材质： 纸本,文徵明名作 山 植物,
71,扇面画选 004,创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 题材： 山水画 材质： 纸本,文徵明名作 山 植物,
72,扇面画选 005,创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 题材： 山水画 材质： 纸本,文徵明名作 植物 房屋建筑,
73,扇面画选 006,创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 题材： 山水画 材质： 纸本,文徵明名作 植物 山,
74,扇面画选 007,创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 题材： 书法篆刻 材质： 纸本,文徵明名作 植物 文字,
75,扇面画选 008,创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 题材： 书法篆刻 材质： 纸本,文徵明名作 植物 文字,
76,扇面画选 010,创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 题材： 书法篆刻 材质： 纸本,文徵明名作 植物 文字,
77,桃源问津图 6,创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 题材： 山水画 材质： 纸本,文徵明名作 山 植物 文字,
78,桃源问津图 2,创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 题材： 山水画 材质： 纸本,文徵明名作 山 植物,
79,桃源问津图 3,创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 题材： 山水画 材质： 纸本,文徵明名作 山 植物,
80,扇面画选 011,创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 题材： 书法篆刻 材质： 纸本,文徵明名作 植物,
81,扇面画选 012,创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 题材： 书法篆刻 材质： 纸本,文徵明名作 植物,
82,扇面画选 015,创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 题材： 书法篆刻 材质： 纸本,文徵明名作 文字 植物,
83,扇面画选 013,创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 题材： 书法篆刻 材质： 纸本,文徵明名作 文字 植物,
84,扇面画选 016,创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 题材： 书法篆刻 材质： 纸本,文徵明名作 文字 植物,
85,桃源问津图 5,创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 题材： 山水画 材质： 纸本 尺寸： 32x713cm 收藏地点： 辽宁省博物馆,文徵明名作 植物,此幅长卷描绘了行人问路，乡野中悠闲生活的场景。图上绿树环抱村宇，小山穿插其中；屋内三五小友饮茶谈古论今，楼下妇人携幼问路，村中溪水潺潺，风景优美，生活悠闲。技法上：线条粗细旋转富于变化，墨色浓淡干湿，层次丰富。
86,桃源问津图 4,创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 题材： 山水画 材质： 纸本 尺寸： 32x713cm 收藏地点： 辽宁省博物馆,文徵明名作 山 植物,此幅长卷描绘了行人问路，乡野中悠闲生活的场景。图上绿树环抱村宇，小山穿插其中；屋内三五小友饮茶谈古论今，楼下妇人携幼问路，村中溪水潺潺，风景优美，生活悠闲。技法上：线条粗细旋转富于变化，墨色浓淡干湿，层次丰富。
87,浒溪草堂图卷 1,创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 题材： 书法篆刻 材质： 绢画 尺寸： 11.5x28cm 收藏地点： 辽宁省博物馆,文徵明名作 文字,
88,浒溪草堂图卷 2,创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 题材： 书法篆刻 材质： 绢画 尺寸： 11.5x28 cm 收藏地点： 辽宁省博物馆,文徵明名作 文字,
89,浒溪草堂图卷 引首,创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 题材： 书法篆刻 材质： 绢画 尺寸： 117.4x28 cm 收藏地点： 辽宁省博物馆,文徵明名作 文字,
90,漪兰竹石图 段2,"创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 题材： 花卉画 材质： 墨水,纸本 收藏地点： 辽宁省博物馆",文徵明名作 花卉,
91,漪兰竹石图 段3,"创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 题材： 花卉画 材质： 墨水,纸本 收藏地点： 辽宁省博物馆",文徵明名作 花卉 植物,
92,忆惜四首次陈侍讲韵 1,创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 题材： 书法篆刻 材质： 纸本 尺寸： 32x485cm,文徵明名作 文字,
93,忆惜四首次陈侍讲韵 2,创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 题材： 书法篆刻 材质： 纸本 尺寸： 32x485cm,文徵明名作 文字,
94,忆惜四首次陈侍讲韵 3,创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 题材： 书法篆刻 材质： 纸本 尺寸： 32x485cm,文徵明名作 文字,
95,扇面 002,创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 题材： 书法篆刻 材质： 纸,文徵明名作 文字 山水 植物,
96,扇面 008,创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 题材： 书法篆刻 材质： 纸,文徵明名作 文字 山水 植物,
97,文徵明行书自作卷全卷,创作者： 文徵明 风格流派： 吴门画派 所属时期： 明代 题材： 书法篆刻 材质： 纸本 尺寸： 587x32cm,文徵明名作 文字,
98,《离骚》 42,创作者： 文徵明 创作时间： 1550 年 （79岁） 风格流派： 吴门画派 所属时期： 明代 题材： 书法篆刻 材质： 纸本,文徵明名作 文字,
99,《离骚》 02,创作者： 文徵明 创作时间： 1550 年 （79岁） 风格流派： 吴门画派 所属时期： 明代 题材： 书法篆刻 材质： 纸本,文徵明名作 文字,
100,《离骚》 04,创作者： 文徵明 创作时间： 1550 年 （79岁） 风格流派： 吴门画派 所属时期： 明代 题材： 书法篆刻 材质： 纸本,文徵明名作 文字,
101,《离骚》 06,创作者： 文徵明 创作时间： 1550 年 （79岁） 风格流派： 吴门画派 所属时期： 明代 题材： 书法篆刻 材质： 纸本,文徵明名作 文字,
102,《离骚》 08,创作者： 文徵明 创作时间： 1550 年 （79岁） 风格流派： 吴门画派 所属时期： 明代 题材： 书法篆刻 材质： 纸本,文徵明名作 文字,
103,《离骚》 24,创作者： 文徵明 创作时间： 1550 年 （79岁） 风格流派： 吴门画派 所属时期： 明代 题材： 书法篆刻 材质： 纸本,文徵明名作 文字,
104,《离骚》 31,创作者： 文徵明 创作时间： 1550 年 （79岁） 风格流派： 吴门画派 所属时期： 明代 题材： 书法篆刻 材质： 纸本,文徵明名作 文字,
105,山水十二开10,创作者： 董其昌 原标题： 历代绘画图库_明_明_董其昌_明 董其昌山水十二开_明 董其昌山水十二开-绢 (10) 风格流派： 华亭画派 所属时期： 明代 题材： 山水画 材质： 绢画,董其昌绘画作品 树 山 房屋,
106,潇湘白云(书画合璧图),创作者： 董其昌 原标题： 历代绘画图库_明_明_董其昌_明 董其昌 潇湘白云(书画合璧图)_明 董其昌 潇湘白云(书画合璧图) 纸本 1184X28.4 风格流派： 华亭画派 所属时期： 明代 题材： 山水画 材质： 纸本 尺寸： 1184 X 28.4 cm,董其昌作品 山 树 文字 印章,
107,仿宋元人缩本画跋册14开-91,创作者： 董其昌 原标题： 历代绘画图库_明_明_董其昌_明 董其昌 仿宋元人缩本画跋册14开_董其昌 仿宋元人缩本画跋册91 风格流派： 华亭画派 所属时期： 明代 题材： 山水画 收藏地点： 台北故宫博物院,台北故宫博物院藏品 董其昌作品 山 树,
108,仿宋元人缩本画跋册14开-90,创作者： 董其昌 原标题： 历代绘画图库_明_明_董其昌_明 董其昌 仿宋元人缩本画跋册14开_董其昌 仿宋元人缩本画跋册90 风格流派： 华亭画派 所属时期： 明代 题材： 山水画 收藏地点： 台北故宫博物院,董其昌作品 台北故宫博物院藏品 山 树 茅屋 人,
109,仿宋元人缩本画跋册14开-88,创作者： 董其昌 原标题： 历代绘画图库_明_明_董其昌_明 董其昌 仿宋元人缩本画跋册14开_董其昌 仿宋元人缩本画跋册88 风格流派： 华亭画派 所属时期： 明代 题材： 山水画 收藏地点： 台北故宫博物院,董其昌作品 台北故宫博物院藏品 山 树,
110,仿古山水册01,创作者： 董其昌 原标题： 历代绘画图库_明_明_董其昌_明 董其昌 仿古山水（纳尔逊）6张_董其昌-仿古山水册01（纳尔逊） 风格流派： 华亭画派 所属时期： 明代 题材： 山水画 收藏地点： 纳尔逊-阿特金斯艺术博物馆,董其昌作品 纳尔逊-阿特金斯艺术博物馆藏品 山 树,
111,仿古山水册页4,"创作者： 董其昌 原标题： 历代绘画图库_明_明_董其昌_明 董其昌 仿古山水册页8张_明 董其昌 仿古山水册页 (4) 风格流派： 华亭画派 所属时期： 明代 题材： 山水画,书法篆刻 收藏地点： 大都会艺术博物馆",董其昌作品 大都会艺术博物馆藏品 山 树 房屋 汉字,
112,仿古山水册页3,创作者： 董其昌 原标题： 历代绘画图库_明_明_董其昌_明 董其昌 仿古山水册页8张_明 董其昌 仿古山水册页 (3) 风格流派： 华亭画派 所属时期： 明代 题材： 山水画 材质： 纸本 收藏地点： 大都会艺术博物馆,董其昌作品 大都会艺术博物馆藏品 山 树 汉字,
113,仿古山水册页2,"创作者： 董其昌 原标题： 历代绘画图库_明_明_董其昌_明 董其昌 仿古山水册页8张_明 董其昌 仿古山水册页 (2) 风格流派： 华亭画派 所属时期： 明代 题材： 山水画,书法篆刻 材质： 纸本 收藏地点： 大都会艺术博物馆",董其昌作品 大都会艺术博物馆藏品 山 树 汉字,
